CODDISA;NOMDISA;CODIGO_PRE;ESTABLEC;ALMTIPO_COMPLETO;ESTADO;UE;CODIGO_MED;NOMBRE;TIPO;ESTRATEGIC;FORMA_FARM;INDICADOR;MESANO;STOCK;CONSUMO;CPA;NMESES;DME
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00947;AZITROMICINA 500 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;5553;4804;400.333333;12;13.87
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04390;LIDOCAINA CLORHIDRATO SIN PRESERVANTES 2 g/100 mL (2 %) 20 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;5510;3768;314;12;17.55
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;20635;CARBONATO DE CALCIO 1.25 g (Equiv. a 500 mg de Calcio)  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;5491;7091;590.916667;12;9.29
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01684;CEFTRIAXONA SODICA 1 g  INYECTABLE;M;SD;INYECTABLE;NORMOSTOCK;202503;5383;16789;1399.083333;12;3.85
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05658;RANITIDINA (COMO CLORHIDRATO) 25 mg/mL 2 mL INYECTABLE;M;SD;INYECTABLE;NO APLICA;202503;5105;8904;809.454545;11;6.31
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03783;DEXTROSA 10 g/100 mL (10 %) 1 L INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;4794;2200;183.333333;12;26.15
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05018;NIFEDIPINO 10 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;4783;9209;767.416667;12;6.23
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01537;CARBIDOPA + LEVODOPA 25 mg + 250 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;4699;5910;492.5;12;9.54
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04381;LEVOTIROXINA SODICA 100 µg (0.1 mg)  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;4620;5373;447.75;12;10.32
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05309;PARACETAMOL 120 mg/5 mL 60 mL JARABE;M;SD;JARABE;SOBRESTOCK;202503;4527;5786;482.166667;12;9.39
